#,id,dataset,action,video_name,recoginize_actions,is_contains
1,33,DCSASS,lifting,Shoplifting001_x264_0.mp4,lifting,contains
2,34,DCSASS,lifting,Shoplifting001_x264_1.mp4,lifting,contains
3,35,DCSASS,lifting,Shoplifting001_x264_10.mp4,lifting,contains
4,36,DCSASS,lifting,Shoplifting001_x264_11.mp4,lifting,contains
5,37,DCSASS,lifting,Shoplifting001_x264_12.mp4,lifting,contains
6,38,DCSASS,lifting,Shoplifting001_x264_13.mp4,lifting,contains
7,39,DCSASS,lifting,Shoplifting001_x264_14.mp4,lifting,contains
8,40,DCSASS,lifting,Shoplifting001_x264_15.mp4,lifting,contains
9,41,DCSASS,lifting,Shoplifting001_x264_16.mp4,lifting,contains
10,42,DCSASS,lifting,Shoplifting001_x264_17.mp4,lifting,contains
11,43,DCSASS,lifting,Shoplifting001_x264_18.mp4,lifting,contains
12,44,DCSASS,lifting,Shoplifting001_x264_19.mp4,lifting,contains
13,45,DCSASS,lifting,Shoplifting001_x264_2.mp4,lifting,contains
14,46,DCSASS,lifting,Shoplifting001_x264_20.mp4,lifting,contains
15,47,DCSASS,lifting,Shoplifting001_x264_21.mp4,lifting,contains
16,48,DCSASS,lifting,Shoplifting001_x264_22.mp4,lifting,contains
17,49,DCSASS,lifting,Shoplifting001_x264_23.mp4,lifting,contains
18,50,DCSASS,lifting,Shoplifting001_x264_24.mp4,lifting,contains
19,51,DCSASS,lifting,Shoplifting001_x264_25.mp4,lifting,contains
20,52,DCSASS,lifting,Shoplifting001_x264_26.mp4,lifting,contains
21,53,DCSASS,lifting,Shoplifting001_x264_27.mp4,lifting,contains
22,54,DCSASS,lifting,Shoplifting001_x264_28.mp4,lifting,contains
23,55,DCSASS,lifting,Shoplifting001_x264_29.mp4,lifting,contains
24,56,DCSASS,lifting,Shoplifting001_x264_3.mp4,lifting,contains
25,57,DCSASS,lifting,Shoplifting001_x264_30.mp4,lifting,contains
26,58,DCSASS,lifting,Shoplifting001_x264_31.mp4,lifting,contains
27,59,DCSASS,lifting,Shoplifting001_x264_4.mp4,lifting,contains
28,60,DCSASS,lifting,Shoplifting001_x264_5.mp4,lifting,contains
29,61,DCSASS,lifting,Shoplifting001_x264_6.mp4,lifting,contains
30,62,DCSASS,lifting,Shoplifting001_x264_7.mp4,lifting,contains
31,63,DCSASS,lifting,Shoplifting001_x264_8.mp4,lifting,contains
32,64,DCSASS,lifting,Shoplifting001_x264_9.mp4,lifting,contains
33,65,DCSASS,lifting,Shoplifting005_x264_0.mp4,lifting,contains
34,66,DCSASS,lifting,Shoplifting005_x264_1.mp4,lifting,contains
35,67,DCSASS,lifting,Shoplifting005_x264_10.mp4,lifting,contains
36,68,DCSASS,lifting,Shoplifting005_x264_11.mp4,lifting,contains
37,69,DCSASS,lifting,Shoplifting005_x264_12.mp4,lifting,contains
38,70,DCSASS,lifting,Shoplifting005_x264_13.mp4,lifting,contains
